Prompt,Response
I need a motherboard of Asus - low power range,"**Motherboard Name:** Asus Z170-K

**Company:** Asus

**Socket:** LGA 1151

**Chipset:** Intel Z170

**Max RAM Speed:** DDR4 3200 (OC)

**Memory Type:** DDR4 SDRAM

**Supported Storage Interfaces:** SATA III, PCIe NVMe, M.2

**Supported Form Factors:** 2.5-inch HDD, M.2 SSD, U.2 SSD

**Form Factor:** ATX
"
I need a motherboard of Gigabyte - low power range,"**Motherboard Name:** Gigabyte GA-B250M-D3H

**Company:** Gigabyte

**Socket:** LGA 1151

**Chipset:** Intel B250

**Max RAM Speed:** DDR4 2400 MHz

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, M.2 NVMe, PCIe x4

**Supported Form Factors:** 2.5"", mSATA, M.2

**Form Factor:** Micro-ATX
"
I need a motherboard of Gigabyte - low power range,"**Motherboard Name:** Gigabyte B450M DS3H

**Company:** Gigabyte

**Socket:** AM4

**Chipset:** AMD B450

**Max RAM Speed:** 3200MHz (according to Gigabyte's official website)

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, PCIe NVMe

**Supported Form Factors:** 2.5-inch HDD, M.2 SSD

**Form Factor:** Micro-ATX
"
I need a motherboard of Asus - low power range,"**Motherboard Name:** Asus Prime B350-Plus

**Company:** Asus

**Socket:** AM4

**Chipset:** AMD B350

**Max RAM Speed:** 3200MHz (according to ASUS's official specs)

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, PCIe x2, M.2

**Supported Form Factors:** mPCIe, COM Port, USB, HDMI, DisplayPort

**Form Factor:** ATX
"
I need a motherboard of Asus - low power range,"**Motherboard Name:** Asus ROG Crosshair V Formula-Z

**Company:** Asus

**Socket:** AM3+

**Chipset:** AMD 990FX

**Max RAM Speed:** DDR-2400 (1.6 GHz)

**Memory Type:** DDR3

**Supported Storage Interfaces:** SATA III, PCIe x4, M.2, USB 3.0

**Supported Form Factors:** HDD, SSD

**Form Factor:** ATX
"
I need a motherboard of Asrock - low power range,"**Motherboard Name:** Asrock B450 Steel Legend

**Company:** Asrock

**Socket:** AM4

**Chipset:** AMD B450

**Max RAM Speed:** DDR4 3200 MHz

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, M.2 (Key E), M.2 (Key M)

**Supported Form Factors:** SSD

**Form Factor:** ATX
"
I need a motherboard of Asrock - high power range,"**Motherboard Name:** Asrock B550M Pro4

**Company:** Asrock

**Socket:** AM4

**Chipset:** AMD B550

**Max RAM Speed:** DDR4 4733MHz (OC), DDR5 5200MHz (OC)

**Memory Type:** DDR4/DDR5

**Supported Storage Interfaces:** SATA III, PCIe 4.0 x4, M.2 NVMe

**Supported Form Factors:** M.2, U.2, SATA

**Form Factor:** Micro-ATX
"
I need a motherboard of Asus - mid power range,"**Motherboard Name:** Asus ROG Maximus VIII Ranger

**Company:** Asus

**Socket:** LGA 1151

**Chipset:** Intel Z170

**Max RAM Speed:** DDR4-3200 (OC)

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, PCIe NVMe, M.2 NVMe, U.2

**Supported Form Factors:** 2.5"", M.2, mSATA

**Form Factor:** ATX
"
I need a motherboard of Asus - low power range,"**Motherboard Name:** Asus Prime Z390-P

**Company:** Asus

**Socket:** LGA 1151

**Chipset:** Intel Z390

**Max RAM Speed:** DDR4 4600MHz

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, PCIe NVMe, M.2, UFS

**Supported Form Factors:** 2.5"", mSATA, M.2

**Form Factor:** ATX
"
I need a motherboard of Asus - low power range,"**Motherboard Name:** Asus ROG Rampage II Extreme

**Company:** Asus

**Socket:** LGA 1366

**Chipset:** Intel X58

**Max RAM Speed:** DDR3-1600

**Memory Type:** DDR3

**Supported Storage Interfaces:** SATA III, PCIe x2, eSATA

**Supported Form Factors:** 2.5-inch, 3.5-inch

**Form Factor:** E-ATX
"
I need a motherboard of Gigabyte - low power range,"**Motherboard Name:** Gigabyte GA-B150M-D3H

**Company:** Gigabyte

**Socket:** LGA 1151

**Chipset:** Intel B150

**Max RAM Speed:** DDR4 2400

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, M.2

**Supported Form Factors:** 2.5"", 3.5""

**Form Factor:** Micro-ATX
"
I need a motherboard of Gigabyte - low power range,"**Motherboard Name:** Gigabyte GA-H110M-H

**Company:** Gigabyte

**Socket:** LGA 1151

**Chipset:** Intel H110

**Max RAM Speed:** DDR4 2133MHz

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, M.2, PCIe

**Supported Form Factors:** 

**Form Factor:** Micro-ATX
"
I need a motherboard of Gigabyte - low power range,"**Motherboard Name:** Gigabyte Z390 Gaming X

**Company:** Gigabyte

**Socket:** LGA 1151

**Chipset:** Intel Z390

**Max RAM Speed:** DDR4 4666MHz (OC)

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, PCIe NVMe, M.2

**Supported Form Factors:** M.2 SSD, U.2 SSD, USB-A, USB-C

**Form Factor:** ATX
"
I need a motherboard of Asus - low power range,"**Motherboard Name:** Asus Z170M-Plus

**Company:** Asus

**Socket:** LGA 1151

**Chipset:** Intel Z170

**Max RAM Speed:** DDR4 3400MHz (OC)

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, M.2, UEFI

**Supported Form Factors:** 2.5-inch HDD, M.2 SSD

**Form Factor:** Micro-ATX
"
I need a motherboard of Asrock - low power range,"**Motherboard Name:** Asrock Z370 Pro4

**Company:** Asrock

**Socket:** LGA 1151

**Chipset:** Intel Z370

**Max RAM Speed:** DDR4 3200 (OC)

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, PCIe NVMe

**Supported Form Factors:** 2.5"" and 3.5"" HDD, M.2 SSD

**Form Factor:** ATX
"
I need a motherboard of Asrock - low power range,"**Motherboard Name:** Asrock A320M-HDV R4.0

**Company:** Asrock

**Socket:** AM4

**Chipset:** AMD A320

**Max RAM Speed:** DDR4 3200

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, M.2 (SATA and PCIe), USB-C

**Supported Form Factors:** 

**Form Factor:** Micro-ATX
"
I need a motherboard of Asus - low power range,"**Motherboard Name:** Asus H170 Pro Gaming

**Company:** Asus

**Socket:** LGA 1151

**Chipset:** Intel H170

**Max RAM Speed:** DDR4-2400

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, M.2 NVMe, PCIe x4

**Supported Form Factors:** 

**Form Factor:** ATX
"
I need a motherboard of Asus - mid power range,"**Motherboard Name:** Asus X99-Deluxe

**Company:** Asus

**Socket:** LGA 2011-3

**Chipset:** Intel X99

**Max RAM Speed:** DDR4-3200

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, PCIe, M.2

**Supported Form Factors:** 2.5-inch HDD, M.2 SSD, U.2 SSD

**Form Factor:** ATX
"
I need a motherboard of Asus - low power range,"**Motherboard Name:** Asus Prime Z270-P

**Company:** Asus

**Socket:** LGA 1151

**Chipset:** Intel Z270

**Max RAM Speed:** DDR4 3200

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, PCIe NVMe, M.2

**Supported Form Factors:** 2.5-inch HDD, M.2 SSD, U.2 SSD

**Form Factor:** ATX
"
I need a motherboard of Asus - low power range,"**Motherboard Name:** Asus B150M Pro Gaming

**Company:** Asus

**Socket:** LGA 1151

**Chipset:** Intel B150

**Max RAM Speed:** DDR4 2400MHz

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, M.2 NVMe

**Supported Form Factors:** 2.5"", M.2

**Form Factor:** Micro-ATX
"
I need a motherboard of Asus - low power range,"**Motherboard Name:** Asus Prime Z390-A

**Company:** Asus

**Socket:** LGA 1151

**Chipset:** Intel Z390

**Max RAM Speed:** 4600 MHz (OC)

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, M.2 NVMe, U.2 NVMe, PCIe x4

**Supported Form Factors:** 2.5-inch HDD, M.2 SSD

**Form Factor:** ATX
"
I need a motherboard of Gigabyte - low power range,"**Motherboard Name:** Gigabyte Z370 HD3

**Company:** Gigabyte

**Socket:** LGA 1151

**Chipset:** Intel Z370

**Max RAM Speed:** DDR4 3200 MHz

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, PCIe NVMe, M.2

**Supported Form Factors:** 2.5-inch HDD, M.2 SSD

**Form Factor:** ATX
"
I need a motherboard of Gigabyte - low power range,"**Motherboard Name:** Gigabyte GA-H110M-S2

**Company:** Gigabyte

**Socket:** LGA 1151

**Chipset:** Intel H110

**Max RAM Speed:** 2400MHz

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, M.2 NVMe, PCIe x2

**Supported Form Factors:** 2.5-inch HDD, M.2 SSD

**Form Factor:** Micro-ATX
"
I need a motherboard of Gigabyte - low power range,"**Motherboard Name:** Gigabyte GA-B250M-DS3H

**Company:** Gigabyte

**Socket:** LGA 1151

**Chipset:** Intel B250

**Max RAM Speed:** DDR4 2400MHz

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, M.2 NVMe

**Supported Form Factors:** 2.5"" HDD, M.2 SSD

**Form Factor:** Micro-ATX
"
I need a motherboard of Asus - low power range,"**Motherboard Name:** Asus Prime B350M-A

**Company:** Asus

**Socket:** AM4

**Chipset:** AMD B350

**Max RAM Speed:** DDR4 3200 MHz

**Memory Type:** DDR4 SDRAM

**Supported Storage Interfaces:** SATA III, M.2 NVMe, PCIe x4

**Supported Form Factors:** 2.5-inch HDD, M.2 SSD

**Form Factor:** Micro-ATX
"
I need a motherboard of Asus - mid power range,"**Motherboard Name:** Asus Z170-Deluxe

**Company:** Asus

**Socket:** LGA 1151

**Chipset:** Intel Z170

**Max RAM Speed:** DDR4-3200

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, M.2, PCIe NVMe

**Supported Form Factors:** SSD

**Form Factor:** ATX
"
I need a motherboard of MSI - low power range,"**Motherboard Name:** MSI H110M PRO-VH Plus

**Company:** MSI

**Socket:** LGA 1151

**Chipset:** Intel H110

**Max RAM Speed:** 2133 MHz

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, M.2 NVMe

**Supported Form Factors:** 2.5-inch HDD, M.2 SSD

**Form Factor:** Micro-ATX
"
I need a motherboard of Asus - low power range,"**Motherboard Name:** Asus ROG Maximus V Gene

**Company:** Asus

**Socket:** LGA 1155

**Chipset:** Intel Z77

**Max RAM Speed:** DDR3 2600MHz

**Memory Type:** DDR3

**Supported Storage Interfaces:** SATA III, PCIe, eSATA

**Supported Form Factors:** 2.5"", 3.5""

**Form Factor:** Micro-ATX
"
I need a motherboard of Asrock - low power range,"**Motherboard Name:** Asrock B250M Pro4

**Company:** Asrock

**Socket:** LGA 1151

**Chipset:** Intel B250

**Max RAM Speed:** DDR4 2400

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, M.2 NVMe, M.2 SATA

**Supported Form Factors:** 

**Form Factor:** Micro-ATX
"
I need a motherboard of MSI - low power range,"**Motherboard Name:** MSI A320M Pro-VD/S

**Company:** MSI

**Socket:** AM4

**Chipset:** AMD A320

**Max RAM Speed:** 3200 MHz

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, PCIe NVMe

**Supported Form Factors:** 2.5-inch, M.2 (Key E), M.2 (Key M)

**Form Factor:** Micro-ATX
"
I need a motherboard of Asus - low power range,"**Motherboard Name:** Asus ROG Rampage IV Extreme

**Company:** Asus

**Socket:** LGA 2011

**Chipset:** Intel X79

**Max RAM Speed:** 1866MHz

**Memory Type:** DDR3

**Supported Storage Interfaces:** SATA III, PCIe x4, M.2, USB 3.0

**Supported Form Factors:** 2.5"" and 3.5"" HDD, SSD

**Form Factor:** E-ATX
"
I need a motherboard of Biostar - low power range,"**Motherboard Name:** Biostar A320MH

**Company:** Biostar

**Socket:** AM4

**Chipset:** AMD A320

**Max RAM Speed:** DDR4 3200 MHz

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, PCIe NVMe

**Supported Form Factors:** 2.5"" HDD, M.2 SSD

**Form Factor:** Micro-ATX
"
I need a motherboard of Asrock - low power range,"**Motherboard Name:** Asrock H110M-HDV R3.0

**Company:** Asrock

**Socket:** LGA 1151

**Chipset:** Intel H110

**Max RAM Speed:** DDR4 2133 MHz

**Memory Type:** DDR4 SDRAM

**Supported Storage Interfaces:** SATA III, M.2 (SATA/SAS)

**Supported Form Factors:** 

**Form Factor:** Micro-ATX
"
I need a motherboard of Gigabyte - low power range,"**Motherboard Name:** Gigabyte G1.Sniper B7

**Company:** Gigabyte

**Socket:** LGA 1151

**Chipset:** Intel B150

**Max RAM Speed:** DDR4-2400

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, M.2 NVMe, UFS

**Supported Form Factors:** 2.5-inch HDD, M.2 SSD, mSATA SSD

**Form Factor:** ATX
"
I need a motherboard of Asus - low power range,"**Motherboard Name:** Asus ROG Strix X570-E Gaming

**Company:** Asus

**Socket:** AM4

**Chipset:** AMD X570

**Max RAM Speed:** DDR4 4600MHz (OC) / DDR4 3200MHz (Non-OC)

**Memory Type:** DDR4

**Supported Storage Interfaces:** 

**Supported Form Factors:** 

**Form Factor:** ATX
"
I need a motherboard of Asus - low power range,"**Motherboard Name:** Asus Prime B250M-A

**Company:** Asus

**Socket:** LGA 1151

**Chipset:** Intel B250

**Max RAM Speed:** DDR4-2400 (based on Intel's documentation)

**Memory Type:** DDR4 SDRAM

**Supported Storage Interfaces:** SATA III, M.2 NVMe/SATA, USB-C

**Supported Form Factors:** 

**Form Factor:** Micro-ATX
"
I need a motherboard of Asus - low power range,"**Motherboard Name:** Asus X99-A II

**Company:** Asus

**Socket:** LGA 2011-3

**Chipset:** Intel X99

**Max RAM Speed:** DDR4 3200 MHz (OC)

**Memory Type:** DDR4 SDRAM

**Supported Storage Interfaces:** SATA, PCIe, M.2, U.2

**Supported Form Factors:** 2.5"", 3.5""

**Form Factor:** ATX
"
I need a motherboard of Asus - low power range,"**Motherboard Name:** Asus Prime X370-Pro

**Company:** Asus

**Socket:** AM4

**Chipset:** AMD X370

**Max RAM Speed:** 3200MHz (PCIe 3.0)

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, M.2 NVMe, PCIe x4

**Supported Form Factors:** AHCI, RAID

**Form Factor:** ATX
"
I need a motherboard of Asrock - low power range,"**Motherboard Name:** Asrock H110M-DVS R3.0

**Company:** Asrock

**Socket:** LGA 1151

**Chipset:** Intel H110

**Max RAM Speed:** DDR4-2400

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, M.2 (SATA and PCIe)

**Supported Form Factors:** 2.5-inch HDD, M.2 SSD

**Form Factor:** Micro-ATX
"
I need a motherboard of Gigabyte - low power range,"**Motherboard Name:** Gigabyte B450M Gaming

**Company:** Gigabyte

**Socket:** AM4

**Chipset:** AMD B450

**Max RAM Speed:** 3200MHz

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, M.2 (SATA and PCIe), U.2

**Supported Form Factors:** 

**Form Factor:** Micro-ATX
"
I need a motherboard of Gigabyte - low power range,"**Motherboard Name:** Gigabyte X570 Aorus Elite

**Company:** Gigabyte

**Socket:** AM4

**Chipset:** AMD X570

**Max RAM Speed:** 4600MHz

**Memory Type:** DDR4/DDR5

**Supported Storage Interfaces:** SATA III, PCIe NVMe

**Supported Form Factors:** M.2, U.2, mSATA

**Form Factor:** ATX
"
I need a motherboard of MSI - low power range,"**Motherboard Name:** MSI B450M Pro-VDH

**Company:** MSI

**Socket:** AM4

**Chipset:** AMD B450

**Max RAM Speed:** 3200MHz

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, PCIe NVMe

**Supported Form Factors:** 2.5"", 3.5""

**Form Factor:** Micro-ATX
"
I need a motherboard of Gigabyte - low power range,"**Motherboard Name:** Gigabyte B450 Aorus Pro WiFi

**Company:** Gigabyte

**Socket:** AM4

**Chipset:** AMD B450

**Max RAM Speed:** DDR4 3200

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA, PCIe NVMe, M.2

**Supported Form Factors:** 2.5"", M.2, mSATA

**Form Factor:** ATX
"
I need a motherboard of MSI - low power range,"**Motherboard Name:** MSI MPG X570 Gaming Edge Wifi

**Company:** MSI

**Socket:** AM4

**Chipset:** AMD X570

**Max RAM Speed:** 3200 MHz

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, M.2 NVMe, PCIe NVMe

**Supported Form Factors:** 2.5"", 3.5""

**Form Factor:** ATX
"
I need a motherboard of Gigabyte - low power range,"**Motherboard Name:** Gigabyte Z370M D3H

**Company:** Gigabyte

**Socket:** LGA 1151

**Chipset:** Intel Z370

**Max RAM Speed:** DDR4 3200 MHz

**Memory Type:** 

**Supported Storage Interfaces:** SATA III, M.2 NVMe, PCIe NVMe

**Supported Form Factors:** 

**Form Factor:** Micro-ATX
"
I need a motherboard of Asrock - low power range,"**Motherboard Name:** Asrock B550M Steel Legend

**Company:** Asrock

**Socket:** AM4

**Chipset:** AMD B550

**Max RAM Speed:** 4600MHz

**Memory Type:** DDR4/DDR5

**Supported Storage Interfaces:** SATA III, PCIe NVMe

**Supported Form Factors:** M.2, U.2, USB flash drive

**Form Factor:** Micro-ATX
"
I need a motherboard of MSI - low power range,"**Motherboard Name:** MSI B350M Gaming Pro

**Company:** MSI

**Socket:** AM4

**Chipset:** AMD B350

**Max RAM Speed:** DDR4 3200

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, M.2 NVMe, PCIe x2

**Supported Form Factors:** M.2

**Form Factor:** Micro-ATX
"
I need a motherboard of Asrock - low power range,"**Motherboard Name:** Asrock AB350 Pro4

**Company:** Asrock

**Socket:** AM4

**Chipset:** AMD B350

**Max RAM Speed:** 3200 MHz

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, PCIe NVMe, M.2, U.2

**Supported Form Factors:** HDD, SSD, mSATA

**Form Factor:** ATX
"
I need a motherboard of Asus - low power range,"**Motherboard Name:** Asus ROG Maximus VII Formula

**Company:** Asus

**Socket:** LGA 1150

**Chipset:** Intel Z97

**Max RAM Speed:** DDR3-3200

**Memory Type:** DDR3

**Supported Storage Interfaces:** SATA III, PCIe, M.2, USB

**Supported Form Factors:** 2.5"", 3.5""

**Form Factor:** ATX
"
I need a motherboard of MSI - low power range,"**Motherboard Name:** MSI Z270-A Pro

**Company:** MSI

**Socket:** LGA 1151

**Chipset:** Intel Z270

**Max RAM Speed:** DDR4-3866 (OC)

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, PCIe NVMe, M.2, U.2

**Supported Form Factors:** 2.5"" HDD, M.2 SSD, mSATA SSD

**Form Factor:** ATX
"
I need a motherboard of Asus - low power range,"**Motherboard Name:** Asus B150 Pro Gaming/Aura

**Company:** Asus

**Socket:** LGA 1151

**Chipset:** Intel B150

**Max RAM Speed:** DDR4 2400 MHz

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, M.2 NVMe, PCIe x4

**Supported Form Factors:** 2.5-inch SATA drive, M.2 SSD

**Form Factor:** ATX
"
I need a motherboard of Asus - low power range,"**Motherboard Name:** Asus B150M-A

**Company:** Asus

**Socket:** LGA 1151

**Chipset:** Intel B150

**Max RAM Speed:** 2400 MHz ( dual-channel)

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, M.2

**Supported Form Factors:** 2.5"", M.2

**Form Factor:** Micro-ATX
"
I need a motherboard of MSI - low power range,"**Motherboard Name:** MSI Z370 Gaming Plus

**Company:** MSI

**Socket:** LGA 1151

**Chipset:** Intel Z370

**Max RAM Speed:** DDR4-4666

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, M.2 NVMe, PCIe NVMe

**Supported Form Factors:** 2.5"", 3.5""

**Form Factor:** ATX
"
I need a motherboard of Asus - low power range,"**Motherboard Name:** Asus ROG Maximus X Hero

**Company:** Asus

**Socket:** LGA 1151

**Chipset:** Intel Z370

**Max RAM Speed:** DDR4 3200

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, M.2 NVMe, PCIe

**Supported Form Factors:** 2.5"", 3.5""

**Form Factor:** ATX
"
I need a motherboard of Gigabyte - low power range,"**Motherboard Name:** Gigabyte B450 Aorus M

**Company:** Gigabyte

**Socket:** AM4

**Chipset:** AMD B450

**Max RAM Speed:** 3200MHz

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, PCIe NVMe, M.2

**Supported Form Factors:** 2.5"", 3.5""

**Form Factor:** Micro-ATX
"
I need a motherboard of Asrock - low power range,"**Motherboard Name:** Asrock B450M-HDV R4.0

**Company:** Asrock

**Socket:** AM4

**Chipset:** AMD B450

**Max RAM Speed:** DDR4 3200(O.C.)

**Memory Type:** DDR4

**Supported Storage Interfaces:** SATA III, M.2 NVMe, PCIe x4, USB-C, Micro-USB

**Supported Form Factors:** 

**Form Factor:** Micro-ATX
"
